quarter,total_impact,active_contributors,treasury_balance,grants_distributed,fees_collected,gini_coefficient,top_10_share,num_projects_funded
1,6126789.123795532,335,4105666.3078503152,819333.6921496853,16386.673842993707,0.43442292200645993,0.15441164291112272,17
2,6145173.409252612,349,3310090.8086314374,720575.4992188778,30798.18382737126,0.4583228244045747,0.15406326972077206,27
3,5858862.76303225,365,2622934.810468865,612155.9981625716,43041.30379062267,0.4856487198810129,0.15363474384504708,26
4,5595054.271211122,393,2076674.860839893,471259.9496289732,52466.50278320212,0.5186089103270535,0.15294827657765367,18
5,5343172.277436508,415,1630759.7195076453,370915.1413322481,59884.805609847084,0.5422703312168136,0.15231713263411498,15
6,5093827.991621146,432,1237945.6830640323,317814.03644361376,66241.08633871937,0.5606048790360192,0.15178444339258043,17
7,4857943.939453058,447,931513.2969196637,231432.38614436903,70869.73406160671,0.5689736921497333,0.15124965793146877,17
8,4636985.312719414,467,610149.3259466073,246363.97097305598,75797.01348106781,0.5811637837967052,0.1506214675095899,27
9,4424161.715126839,481,353201.82160777564,181947.50433883144,79435.96356784445,0.5880101695778901,0.15004042225147804,24
10,4225574.757234796,510,125533.9167895001,152667.90481827565,82489.32166420993,0.6049765730048522,0.14938013306643766,23
11,4037842.4318478657,530,16455.12561711033,109078.79117238974,84670.89748765774,0.614478559963594,0.14859544348171438,22
12,3863370.4931412754,555,659.6033104974196,15795.522306612911,84986.80793379,0.6224943671673844,0.1475711977728244,5
